# Waveform analysis results (pydub + energy detection)
# Tempo: 160 BPM
# Beat interval: 0.375s
# Total beats: 797
# Downbeats: 200
# Format: time_seconds,beat_position_in_measure,strength
3.300000,1,0.408
3.675000,2,0.000
4.050000,3,0.000
4.425000,4,0.000
4.800000,1,0.275
5.175000,2,0.000
5.550000,3,0.313
5.925000,4,0.000
6.300000,1,0.003
6.675000,2,0.000
7.050000,3,0.001
7.425000,4,0.000
7.800000,1,0.000
8.175000,2,0.000
8.550000,3,0.317
8.925000,4,0.297
9.300000,1,0.000
9.675000,2,0.320
10.050000,3,0.259
10.425000,4,0.301
10.800000,1,0.000
11.175000,2,0.407
11.550000,3,0.272
11.925000,4,0.318
12.300000,1,0.000
12.675000,2,0.000
13.050000,3,0.000
13.425000,4,0.128
13.800000,1,0.000
14.175000,2,0.000
14.550000,3,0.336
14.925000,4,0.285
15.300000,1,0.000
15.675000,2,1.000
16.050000,3,0.000
16.425000,4,0.000
16.800000,1,0.648
17.175000,2,0.000
17.550000,3,0.261
17.925000,4,0.000
18.300000,1,0.279
18.675000,2,0.425
19.050000,3,0.000
19.425000,4,0.262
19.800000,1,0.748
20.175000,2,0.000
20.550000,3,0.000
20.925000,4,0.000
21.300000,1,0.350
21.675000,2,0.000
22.050000,3,0.946
22.425000,4,0.000
22.800000,1,0.000
23.175000,2,0.000
23.550000,3,0.635
23.925000,4,0.254
24.300000,1,0.344
24.675000,2,0.000
25.050000,3,0.954
25.425000,4,0.000
25.800000,1,0.000
26.175000,2,0.688
26.550000,3,0.562
26.925000,4,0.323
27.300000,1,0.000
27.675000,2,0.289
28.050000,3,0.000
28.425000,4,0.000
28.800000,1,0.259
29.175000,2,0.549
29.550000,3,0.000
29.925000,4,0.000
30.300000,1,0.000
30.675000,2,0.300
31.050000,3,0.000
31.425000,4,0.772
31.800000,1,0.260
32.175000,2,0.000
32.550000,3,0.000
32.925000,4,0.577
33.300000,1,0.350
33.675000,2,0.373
34.050000,3,0.329
34.425000,4,0.782
34.800000,1,0.275
35.175000,2,0.335
35.550000,3,0.318
35.925000,4,0.586
36.300000,1,0.404
36.675000,2,0.413
37.050000,3,0.288
37.425000,4,0.000
37.800000,1,0.000
38.175000,2,0.000
38.550000,3,0.455
38.925000,4,0.000
39.300000,1,0.000
39.675000,2,0.000
40.050000,3,0.287
40.425000,4,0.000
40.800000,1,0.000
41.175000,2,0.000
41.550000,3,0.328
41.925000,4,0.279
42.300000,1,0.562
42.675000,2,0.389
43.050000,3,0.379
43.425000,4,0.444
43.800000,1,0.688
44.175000,2,0.316
44.550000,3,0.320
44.925000,4,0.257
45.300000,1,0.546
45.675000,2,0.256
46.050000,3,0.375
46.425000,4,0.406
46.800000,1,0.605
47.175000,2,0.251
47.550000,3,0.252
47.925000,4,0.408
48.300000,1,0.000
48.675000,2,0.000
49.050000,3,0.000
49.425000,4,0.315
49.800000,1,0.000
50.175000,2,0.000
50.550000,3,0.000
50.925000,4,0.410
51.300000,1,0.255
51.675000,2,0.468
52.050000,3,0.312
52.425000,4,0.303
52.800000,1,0.290
53.175000,2,0.000
53.550000,3,0.000
53.925000,4,0.331
54.300000,1,0.260
54.675000,2,0.258
55.050000,3,0.000
55.425000,4,0.359
55.800000,1,0.000
56.175000,2,0.000
56.550000,3,0.000
56.925000,4,0.372
57.300000,1,0.457
57.675000,2,0.400
58.050000,3,0.254
58.425000,4,0.530
58.800000,1,0.376
59.175000,2,0.000
59.550000,3,0.255
59.925000,4,0.000
60.300000,1,0.255
60.675000,2,0.261
61.050000,3,0.253
61.425000,4,0.000
61.800000,1,0.329
62.175000,2,0.257
62.550000,3,0.296
62.925000,4,0.000
63.300000,1,0.000
63.675000,2,0.822
64.050000,3,0.334
64.425000,4,0.000
64.800000,1,0.696
65.175000,2,0.000
65.550000,3,0.377
65.925000,4,0.250
66.300000,1,0.000
66.675000,2,0.000
67.050000,3,0.000
67.425000,4,0.000
67.800000,1,0.331
68.175000,2,0.371
68.550000,3,0.266
68.925000,4,0.307
69.300000,1,0.549
69.675000,2,0.432
70.050000,3,0.260
70.425000,4,0.810
70.800000,1,0.547
71.175000,2,0.316
71.550000,3,0.000
71.925000,4,0.823
72.300000,1,0.000
72.675000,2,0.000
73.050000,3,0.000
73.425000,4,0.447
73.800000,1,0.000
74.175000,2,0.300
74.550000,3,0.000
74.925000,4,0.401
75.300000,1,0.279
75.675000,2,0.584
76.050000,3,0.299
76.425000,4,0.642
76.800000,1,0.339
77.175000,2,0.000
77.550000,3,0.000
77.925000,4,0.000
78.300000,1,0.000
78.675000,2,0.000
79.050000,3,0.500
79.425000,4,0.000
79.800000,1,0.000
80.175000,2,0.280
80.550000,3,0.000
80.925000,4,0.365
81.300000,1,0.470
81.675000,2,0.000
82.050000,3,0.296
82.425000,4,0.000
82.800000,1,0.667
83.175000,2,0.000
83.550000,3,0.387
83.925000,4,0.000
84.300000,1,0.418
84.675000,2,0.374
85.050000,3,0.332
85.425000,4,0.000
85.800000,1,0.629
86.175000,2,0.270
86.550000,3,0.494
86.925000,4,0.000
87.300000,1,0.289
87.675000,2,0.000
88.050000,3,0.000
88.425000,4,0.500
88.800000,1,0.000
89.175000,2,0.000
89.550000,3,0.000
89.925000,4,0.000
90.300000,1,0.000
90.675000,2,0.260
91.050000,3,0.437
91.425000,4,0.397
91.800000,1,0.257
92.175000,2,0.596
92.550000,3,0.279
92.925000,4,0.413
93.300000,1,0.000
93.675000,2,0.497
94.050000,3,0.356
94.425000,4,0.402
94.800000,1,0.000
95.175000,2,0.498
95.550000,3,0.314
95.925000,4,0.416
96.300000,1,0.274
96.675000,2,0.315
97.050000,3,0.000
97.425000,4,0.256
97.800000,1,0.315
98.175000,2,0.000
98.550000,3,0.000
98.925000,4,0.271
99.300000,1,0.000
99.675000,2,0.286
100.050000,3,0.000
100.425000,4,0.280
100.800000,1,0.295
101.175000,2,0.317
101.550000,3,0.392
101.925000,4,0.000
102.300000,1,0.250
102.675000,2,0.267
103.050000,3,0.382
103.425000,4,0.276
103.800000,1,0.268
104.175000,2,0.316
104.550000,3,0.260
104.925000,4,0.312
105.300000,1,0.345
105.675000,2,0.301
106.050000,3,0.000
106.425000,4,0.290
106.800000,1,0.256
107.175000,2,0.264
107.550000,3,0.254
107.925000,4,0.293
108.300000,1,0.330
108.675000,2,0.275
109.050000,3,0.290
109.425000,4,0.279
109.800000,1,0.252
110.175000,2,0.268
110.550000,3,0.293
110.925000,4,0.276
111.300000,1,0.337
111.675000,2,0.296
112.050000,3,0.254
112.425000,4,0.284
112.800000,1,0.000
113.175000,2,0.321
113.550000,3,0.307
113.925000,4,0.000
114.300000,1,0.314
114.675000,2,0.284
115.050000,3,0.000
115.425000,4,0.000
115.800000,1,0.000
116.175000,2,0.000
116.550000,3,0.255
116.925000,4,0.269
117.300000,1,0.292
117.675000,2,0.272
118.050000,3,0.000
118.425000,4,0.257
118.800000,1,0.308
119.175000,2,0.285
119.550000,3,0.264
119.925000,4,0.333
120.300000,1,0.301
120.675000,2,0.000
121.050000,3,0.262
121.425000,4,0.261
121.800000,1,0.334
122.175000,2,0.309
122.550000,3,0.303
122.925000,4,0.404
123.300000,1,0.000
123.675000,2,0.000
124.050000,3,0.333
124.425000,4,0.271
124.800000,1,0.267
125.175000,2,0.262
125.550000,3,0.300
125.925000,4,0.000
126.300000,1,0.336
126.675000,2,0.259
127.050000,3,0.265
127.425000,4,0.000
127.800000,1,0.000
128.175000,2,0.000
128.550000,3,0.269
128.925000,4,0.000
129.300000,1,0.271
129.675000,2,0.270
130.050000,3,0.273
130.425000,4,0.275
130.800000,1,0.278
131.175000,2,0.270
131.550000,3,0.274
131.925000,4,0.303
132.300000,1,0.441
132.675000,2,0.314
133.050000,3,0.426
133.425000,4,0.375
133.800000,1,0.343
134.175000,2,0.403
134.550000,3,0.342
134.925000,4,0.377
135.300000,1,0.414
135.675000,2,0.316
136.050000,3,0.362
136.425000,4,0.303
136.800000,1,0.322
137.175000,2,0.443
137.550000,3,0.298
137.925000,4,0.344
138.300000,1,0.394
138.675000,2,0.336
139.050000,3,0.367
139.425000,4,0.424
139.800000,1,0.389
140.175000,2,0.337
140.550000,3,0.415
140.925000,4,0.529
141.300000,1,0.566
141.675000,2,0.454
142.050000,3,0.601
142.425000,4,0.554
142.800000,1,0.597
143.175000,2,0.501
143.550000,3,0.485
143.925000,4,0.571
144.300000,1,0.539
144.675000,2,0.000
145.050000,3,0.000
145.425000,4,0.000
145.800000,1,0.000
146.175000,2,0.000
146.550000,3,0.000
146.925000,4,0.000
147.300000,1,0.000
147.675000,2,0.000
148.050000,3,0.000
148.425000,4,0.000
148.800000,1,0.000
149.175000,2,0.000
149.550000,3,0.000
149.925000,4,0.000
150.300000,1,0.000
150.675000,2,0.000
151.050000,3,0.000
151.425000,4,0.000
151.800000,1,0.274
152.175000,2,0.365
152.550000,3,0.281
152.925000,4,0.000
153.300000,1,0.000
153.675000,2,0.000
154.050000,3,0.298
154.425000,4,0.299
154.800000,1,0.347
155.175000,2,0.000
155.550000,3,0.302
155.925000,4,0.291
156.300000,1,0.293
156.675000,2,0.330
157.050000,3,0.300
157.425000,4,0.281
157.800000,1,0.442
158.175000,2,0.281
158.550000,3,0.313
158.925000,4,0.277
159.300000,1,0.293
159.675000,2,0.317
160.050000,3,0.352
160.425000,4,0.272
160.800000,1,0.000
161.175000,2,0.263
161.550000,3,0.337
161.925000,4,0.307
162.300000,1,0.000
162.675000,2,0.283
163.050000,3,0.000
163.425000,4,0.271
163.800000,1,0.000
164.175000,2,0.000
164.550000,3,0.000
164.925000,4,0.000
165.300000,1,0.300
165.675000,2,0.251
166.050000,3,0.000
166.425000,4,0.000
166.800000,1,0.000
167.175000,2,0.271
167.550000,3,0.270
167.925000,4,0.324
168.300000,1,0.261
168.675000,2,0.266
169.050000,3,0.266
169.425000,4,0.299
169.800000,1,0.265
170.175000,2,0.302
170.550000,3,0.000
170.925000,4,0.000
171.300000,1,0.000
171.675000,2,0.000
172.050000,3,0.000
172.425000,4,0.328
172.800000,1,0.262
173.175000,2,0.362
173.550000,3,0.343
173.925000,4,0.000
174.300000,1,0.000
174.675000,2,0.000
175.050000,3,0.289
175.425000,4,0.000
175.800000,1,0.346
176.175000,2,0.278
176.550000,3,0.330
176.925000,4,0.262
177.300000,1,0.260
177.675000,2,0.000
178.050000,3,0.309
178.425000,4,0.000
178.800000,1,0.272
179.175000,2,0.349
179.550000,3,0.000
179.925000,4,0.000
180.300000,1,0.000
180.675000,2,0.260
181.050000,3,0.268
181.425000,4,0.000
